year,make,model
2016,FORD,FUSION
2013,CHEVROLET,EQUINOX
2018,TOYOTA,CAMRY
2016,INFINITI,Q50
2018,TOYOTA,TUNDRA
2014,LINCOLN,MKT
2017,TOYOTA,SIENNA
2017,SUBARU,OUTBACK
2019,FORD,F-250 SUPER DUTY
2019,SUBARU,LEGACY
2019,DODGE,GRAND CARAVAN
2017,ACURA,TLX
2011,FORD,FUSION
2012,FORD,ESCAPE
2017,CHEVROLET,EQUINOX
2018,ACURA,RDX
2020,JEEP,GRAND CHEROKEE
2019,FORD,FUSION HYBRID
2017,BMW,X1
2014,MERCEDES,M-CLASS
2020,MERCEDES,GLE
2013,NISSAN,ROGUE
2014,TOYOTA,COROLLA
2019,AUDI,A5 SPORTBACK
2015,INFINITI,Q50
2018,FORD,ESCAPE
2017,CHEVROLET,SILVERADO 1500
2018,GMC,SIERRA 1500 DENALI
2019,FORD,EXPEDITION
